DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Community Board,Council District ,Census Tract,NTA,Precinct
25Q281,84.30%,76.70%,92.10%,74.70%,92%,75%,92%,80%,7.0,20.0,845,Flushing,109
25Q285,90.30%,76.80%,90.10%,81.90%,91%,76%,95%,80%,11.0,19.0,"1,139",Auburndale,111
25Q425,66.00%,38.30%,65.40%,43.10%,66%,47%,66%,51%,8.0,24.0,809,Kew Gardens Hills,107
25Q460,60.40%,35.80%,59.20%,37.10%,54%,41%,57%,39%,7.0,20.0,"1,161",Flushing,109
25Q525,100.00%,100.00%,100.00%,100.00%,100%,100%,100%,100%,8.0,24.0,809,Kew Gardens Hills,107
25Q670,74.20%,48.70%,76.40%,65.30%,81%,75%,82%,65%,8.0,24.0,"77,908",Kew Gardens Hills,107
26Q415,85.30%,71.60%,84.10%,75.50%,87%,73%,84%,76%,11.0,23.0,"138,501",Oakland Gardens,111
26Q430,87.50%,68.00%,88.80%,78.60%,86%,77%,86%,74%,11.0,20.0,"1,417",Auburndale,111
26Q435,64.30%,45.30%,55.50%,44.50%,53%,40%,54%,45%,13.0,23.0,"1,301",Bellerose,105
26Q495,86.20%,74.50%,91.40%,73.30%,92%,77%,91%,79%,11.0,19.0,"1,097",Bayside-Bayside Hills,111
26Q566,88.10%,70.20%,88.50%,69.60%,90%,74%,90%,74%,13.0,23.0,"1,567",Bellerose,105
27Q260,69.50%,54.70%,69.60%,55.20%,52%,40%,59%,38%,14.0,31.0,"100,802",Far Rockaway-Bayswater,101
27Q262,90.10%,70.40%,90.90%,72.30%,86%,61%,97%,66%,14.0,32.0,"94,201",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,100
27Q400,67.00%,31.40%,40.60%,29.70%,39%,24%,40%,24%,12.0,28.0,294,Springfield Gardens North,113
27Q475,58.60%,35.40%,60.10%,35.40%,58%,39%,52%,36%,9.0,28.0,120,Richmond Hill,102
27Q475,58.60%,35.40%,60.10%,35.40%,58%,39%,52%,36%,9.0,28.0,120,Richmond Hill,102
27Q475,58.60%,35.40%,60.10%,35.40%,58%,39%,52%,36%,9.0,28.0,124,Richmond Hill,102
27Q475,58.60%,35.40%,60.10%,35.40%,58%,39%,52%,36%,9.0,28.0,124,Richmond Hill,102
27Q480,64.10%,33.00%,53.60%,39.40%,52%,40%,55%,34%,10.0,32.0,864,South Ozone Park,106
27Q650,97.90%,59.30%,96.30%,82.10%,98%,82%,95%,74%,9.0,28.0,114,Richmond Hill,102
28Q440,84.40%,64.90%,86.40%,66.20%,86%,69%,84%,72%,6.0,29.0,747,Forest Hills,112
28Q505,75.60%,52.90%,71.00%,54.50%,72%,56%,74%,60%,8.0,24.0,448,Briarwood-Jamaica Hills,107
28Q620,87.70%,69.70%,85.60%,69.40%,84%,71%,88%,67%,8.0,24.0,452,Briarwood-Jamaica Hills,107
28Q680,99.00%,89.80%,94.20%,89.80%,97%,83%,95%,91%,8.0,24.0,"1,267",Pomonok-Flushing Heights-Hillcrest,107
28Q690,78.50%,51.20%,71.20%,54.60%,76%,58%,74%,50%,12.0,28.0,278,Baisley Park,113
29Q248,67.40%,39.80%,57.00%,43.20%,67%,36%,66%,32%,12.0,31.0,330,Springfield Gardens North,113
29Q259,80.30%,65.60%,77.60%,59.00%,75%,51%,81%,59%,12.0,27.0,508,Hollis,113
29Q265,67.80%,43.60%,76.70%,41.70%,83%,46%,85%,49%,12.0,31.0,330,Springfield Gardens North,113
29Q272,81.30%,65.00%,75.70%,42.00%,80%,50%,84%,56%,12.0,31.0,330,Springfield Gardens North,113
29Q283,68.40%,45.00%,82.60%,40.70%,80%,62%,81%,54%,12.0,31.0,330,Springfield Gardens North,113
29Q492,74.60%,45.50%,77.40%,56.30%,69%,55%,66%,50%,13.0,27.0,"53,401",Cambria Heights,105
29Q498,76.10%,51.50%,77.70%,47.70%,74%,51%,78%,49%,13.0,27.0,"53,401",Cambria Heights,105
30Q445,56.50%,43.40%,63.00%,43.20%,66%,44%,69%,46%,1.0,26.0,163,Astoria,114
30Q450,65.70%,42.90%,56.10%,42.90%,59%,40%,63%,43%,1.0,22.0,45,Astoria,114
30Q501,93.40%,83.60%,96.60%,87.60%,94%,85%,98%,80%,1.0,26.0,57,Astoria,114
30Q502,72.60%,48.90%,74.10%,52.00%,67%,57%,68%,49%,2.0,26.0,19,Hunters Point-Sunnyside-West Maspeth,108
30Q555,72.60%,43.50%,66.70%,44.40%,70%,45%,62%,51%,1.0,26.0,33,Queensbridge-Ravenswood-Long Island City,114
30Q575,89.00%,81.30%,88.10%,85.20%,92%,87%,89%,91%,1.0,26.0,33,Queensbridge-Ravenswood-Long Island City,113
30Q580,100.00%,90.30%,96.60%,92.20%,98%,92%,98%,98%,1.0,26.0,55,Queensbridge-Ravenswood-Long Island City,114
31R047,94.10%,90.10%,96.60%,82.40%,97%,95%,90%,88%,2.0,51.0,"27,702",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,121
31R080,86.60%,81.70%,90.00%,67.70%,92%,79%,91%,79%,2.0,50.0,177,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,122
31R440,75.60%,47.30%,76.10%,52.80%,73%,51%,78%,54%,2.0,50.0,"11,202",New Dorp-Midland Beach,122
31R445,63.90%,41.40%,62.50%,47.50%,61%,42%,67%,43%,1.0,49.0,213,Port Richmond,121
31R450,69.80%,45.60%,73.80%,47.70%,79%,51%,80%,56%,1.0,49.0,7,West New Brighton-New Brighton-St. George,120
31R455,83.50%,63.90%,84.50%,65.20%,83%,66%,85%,66%,3.0,51.0,198,Annadale-Huguenot-Prince's Bay-Eltingville,123
31R460,81.20%,64.70%,78.30%,74.00%,81%,69%,84%,70%,2.0,50.0,181,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,122
31R600,63.00%,36.60%,66.80%,46.10%,60%,44%,75%,42%,1.0,49.0,9,West New Brighton-New Brighton-St. George,120
32K403,72.80%,38.20%,64.80%,34.00%,75%,37%,62%,36%,4.0,37.0,435,Bushwick North,83
32K545,60.10%,44.80%,66.50%,47.00%,70%,42%,59%,53%,4.0,34.0,393,Bushwick South,83
32K549,68.30%,55.00%,63.50%,32.70%,55%,34%,69%,31%,4.0,37.0,435,Bushwick North,83
32K552,63.40%,25.20%,51.30%,30.90%,51%,28%,48%,31%,4.0,37.0,435,Bushwick North,83
32K554,100.00%,58.10%,97.40%,77.10%,97%,84%,94%,74%,4.0,37.0,433,Bushwick North,83
32K556,48.90%,31.40%,43.20%,25.20%,70%,23%,68%,38%,4.0,34.0,393,Bushwick South,83
03M485,98.20%,86.10%,99.50%,93.30%,98%,86%,99%,80%,7.0,6.0,151,Lincoln Square,20
31R605,100.00%,99.00%,100.00%,90.00%,100%,100%,100%,99%,2.0,50.0,134,New Dorp-Midland Beach,122
02M475,98.50%,85.40%,99.40%,98.70%,98%,99%,99%,97%,1.0,1.0,"31,703",Battery Park City-Lower Manhattan,1
05M692,98.20%,93.40%,99.00%,60.40%,99%,98%,99%,95%,9.0,9.0,"21,703",Manhattanville,26
10X696,100.00%,93.60%,100.00%,98.80%,100%,99%,100%,99%,8.0,11.0,409,Van Cortlandt Village,50
13K430,97.70%,86.70%,96.00%,94.80%,98%,83%,98%,91%,2.0,35.0,33,Fort Greene,88
10X445,100.00%,99.40%,99.90%,99.90%,100%,100%,100%,96%,7.0,11.0,409,Van Cortlandt Village,52
14K449,91.40%,96.10%,98.60%,85.70%,100%,87%,99%,97%,1.0,34.0,505,East Williamsburg,90
28Q687,100.00%,97.20%,98.30%,100.00%,99%,84%,100%,89%,12.0,27.0,246,Jamaica,103
